review_text,sentiment
"This laptop is absolutely amazing 😍 I have been using it for about three weeks now and the performance has been totally outstanding for all of my daily tasks and streaming.",1
"The headphones were delivered quickly but the sound quality is just okay 😐 I was honestly expecting much better bass response for the price that I paid.",0
"I bought this blender for making my morning smoothies and it blends everything perfectly smooth 💪 The motor is really powerful and has not shown any signs of slowing down after months of use.",1
"These running shoes felt comfortable at first but they started falling apart after only a few weeks of regular use 😤 The stitching on the left shoe completely came undone.",0
"The coffee maker works fine I guess but it takes forever to brew a full pot 😒 My old machine used to finish in half the time and kept the coffee hotter.",0
"Honestly this phone case is way better than I had expected 🎉 It fits my device perfectly and the grip material feels really premium and solid in my hand.",1
"The yoga mat is decent but it slides around on my hardwood floor which makes it really difficult to hold poses properly 😠 I have tried everything to keep it in place.",0
"This moisturizer has genuinely transformed my skin over the past month 🌟 My complexion looks so much more even and the texture has improved dramatically since I started using it.",1
"I ordered the medium size but what arrived was clearly a small 😡 The return process was also a huge hassle and took almost two full weeks to resolve.",0
"The wireless charger works as advertised but it charges my phone noticeably slower than the wired cable does 😕 I mainly use it at night so the speed is not that critical.",1
"This backpack has so many useful compartments and the material feels incredibly durable 💼 I have been using it for hiking every weekend and it still looks brand new.",1
"The paint brush set looked great in the product photos but the bristles started shedding almost immediately 😤 My artwork was ruined because of all the loose bristles in the paint.",0
"I am really pleased with this kitchen knife 🔪 It holds its edge well and cuts through vegetables and meat with very little effort at all.",1
"The Bluetooth speaker has decent sound for its size but it disconnects randomly from my phone at least once every session 😤 This makes it really frustrating to use while exercising.",0
"This vitamin supplement has made a noticeable difference in my energy levels over the past six weeks 💊 I no longer feel that afternoon slump that used to hit me every single day.",1
"The desk lamp looks sleek and modern but the light it produces is too dim even on the highest setting 😞 I still need my overhead light on just to read comfortably at my desk.",0
"These noise cancelling headphones block out almost all background noise which is incredible for my daily commute 🎧 The battery lasts the entire day without needing any recharge.",1
"The air purifier runs constantly and still has not eliminated the pet odour in my living room after two weeks of continuous use 😒 I expected much faster results based on the reviews.",0
"I purchased this electric toothbrush and my dentist literally commented on the improvement at my last checkup 😁 The gum mode is gentle but still effective at cleaning.",1
"The gaming controller feels flimsy and the left joystick already has a noticeable drift after only a month of casual playing 😩 I am really disappointed for the money I spent.",0
"This rice cooker makes the most perfectly fluffy rice every single time 🍚 Even my picky family members who usually complain about everything agreed it was delicious.",1
"The phone screen protector came with several tiny bubbles trapped underneath that I simply cannot remove no matter what I try 😠 It also makes the touch response feel less accurate.",0
"My cat absolutely loves this interactive toy 🐱 She plays with it for hours every day and it has really helped reduce her anxiety when I am away at work.",1
"The resistance bands snapped during my very first workout session 😤 The quality is nothing like what the product listing described and I am asking for a full refund.",0
"I have been using this standing desk for about three months now and my back pain has reduced significantly 🖥️ The height adjustment mechanism is smooth and remembers my settings.",1
"The sunscreen feels greasy and leaves a horrible white cast on my darker skin tone 😒 I have tried applying it in different amounts but nothing seems to fix the problem.",0
"This cast iron skillet is heavy but absolutely worth it for the cooking results 🍳 Steaks come out with a perfect sear every single time I use it.",1
"The electric kettle stopped working completely after only six weeks of normal daily use 😡 The heating element just quit without any warning and customer service was unhelpful.",0
"These wireless earbuds stay in my ears perfectly even during intense workouts 🏃 The sweat resistance has been tested and they still sound great after many gym sessions.",1
"The luggage wheels cracked on my very first trip and now one of them wobbles badly 😤 For the premium price I expected much better construction quality than this.",0
"This garden hose is incredibly durable and the spray nozzle has so many useful settings 🌿 I have used it all summer and there are absolutely no leaks anywhere.",1
"The ice cream maker takes way longer to freeze than the instructions claim 🍦 After following all the steps carefully the result was more of a soft soup than ice cream.",0
"I bought this journal for bullet journaling and the paper quality is exceptional 📓 The ink from my favourite pens does not bleed through at all which is rare.",1
"The fitness tracker shows wildly inaccurate step counts compared to my other devices 📊 Some days it records twice as many steps as I actually took.",0
"This portable power bank saved me during a long flight when I forgot to charge my devices 🔋 It charged my phone twice and still had power remaining when I landed.",1
"The wall clock arrived with a cracked glass face despite the secure looking packaging 😞 The replacement process required extensive photos and took nearly three weeks.",0
"I have tried so many dog shampoos and this one is the first that actually leaves my dog's coat looking shiny without irritating his sensitive skin 🐶 Highly recommend.",1
"The cutting board warped significantly after only a few washes in the dishwasher 😤 The product listing clearly stated it was dishwasher safe which was completely misleading.",0
"This humidifier runs so quietly that I completely forget it is on 💧 My nasal congestion has improved dramatically since I started running it in my bedroom at night.",1
"The portable projector has terrible picture quality in any room that is not completely dark 🎥 Even slight ambient light washes out the image to the point of being unwatchable.",0
"These kitchen scissors cut through everything from herbs to chicken bones with complete ease 🍗 The spring mechanism makes repetitive cutting so much less tiring on my hands.",1
"The gaming headset picks up so much background noise that my teammates constantly complain they can hear my keyboard and fans 🎮 The microphone quality is really poor.",0
"This water bottle keeps my drinks cold for the full promised eight hours even in summer heat ❄️ The lid seals perfectly and I have never experienced any leaks.",1
"The electric shaver left my skin feeling irritated and raw after every single use 😞 I have sensitive skin and even with pre-shave oil the experience was uncomfortable.",0
"I started using this collagen powder three months ago and the difference in my skin elasticity is really visible 💆 My nails are also noticeably stronger than before.",1
"The keyboard keys are already sticking after only two months of light typing use 😡 Dust seems to get trapped underneath even with regular careful cleaning.",0
"This essential oil diffuser creates such a calming atmosphere in my bedroom 🌸 The timer function is perfect for falling asleep without leaving it running all night.",1
"The camping tent leaked at the seams during a mild rain shower on our very first trip 🏕️ Completely unacceptable for a product marketed as waterproof.",0
"My whole family uses this hand soap now because it actually moisturises while cleaning 🧼 We used to go through lotion constantly but our hands are so much softer now.",1
"The meal prep containers said they were leak-proof but my bag was soaked after the first use 😤 Soup went everywhere through the supposedly sealed lid.",0
"This portable blender is perfect for making protein shakes on the go 🥤 The USB charging is convenient and the motor handles frozen fruit without any trouble at all.",1
"The tablet stand wobbles at any slight touch and constantly tips over during video calls 😠 This is incredibly frustrating when I am trying to follow along with recipes.",0
"I purchased this book light for reading before bed and it is the perfect brightness without disturbing my partner 📚 The clip is secure and the battery lasts impressively long.",1
"These compression socks looked great in the listing but the elastic is too tight and leaves deep uncomfortable marks on my legs after wearing them 😣 Really disappointed.",0
"This face wash has cleared up my hormonal breakouts better than prescription products I have tried in the past 🧴 My skin feels clean without that tight dry feeling.",1
"The bamboo cutting board developed deep cracks within a month despite following all the care instructions exactly 😞 It now harbours bacteria in the grooves which worries me.",0
"I use this massage gun after every workout and my recovery time has genuinely decreased 💆 The different head attachments target different muscle groups really effectively.",1
"The throw pillow covers faded noticeably after only two gentle machine washes 😒 The vibrant colours in the product photos were completely misleading about the actual quality.",0
"This puzzle was a wonderful family activity and the piece quality is thick enough that they slot together satisfyingly 🧩 The finished image looks gorgeous when framed.",1
"The shower head has very low pressure even after cleaning the filter multiple times 🚿 I have checked for clogs but the flow is still noticeably weaker than my old one.",0
"My daughter has been learning piano with this keyboard for six months and the weighted keys make it feel very realistic 🎹 The built-in lessons are genuinely helpful.",1
"The replacement laptop charger got extremely hot to the touch after just thirty minutes of use 🔌 I am genuinely worried about a fire hazard and will not use it again.",0
"This candle smells exactly like the description and the scent fills my entire living room 🕯️ It burns evenly and I have not noticed any tunneling after several uses.",1
"The salad spinner broke on the third use when the pull cord mechanism snapped completely 😡 The plastic quality is noticeably cheap despite the reasonable price point.",0
